"filename", "language", "C#", "comment", "blank", "total"
"c:\UnityProjects\Remik\Assets\Scripts\Game\GameManager.cs", "C#", 0, 1, 0, 1
"c:\UnityProjects\Remik\Assets\Scripts\Panels\StatsPanel\StatsPanel.cs", "C#", 61, 0, 5, 66
"Total", "-", 61, 1, 5, 67
