"filename", "language", "C#", "comment", "blank", "total"
"c:\UnityProjects\Remik\Assets\Scripts\Panels\EndGamePanel\QuitButton.cs", "C#", 10, -2, 1, 9
"Total", "-", 10, -2, 1, 9
